Period,Primary Subject Author,Primary Subject Work,,Classification,Subject Terms:,Genre: 
1900-1999,"treatment of Metacom, Chief of the Wampanoags (ca. 1637-1676)",'The Firebombing',novel,novel,"influence on Chopin, Kate (1851-1904)",
1900-1999,"Faulkner, William (1897-1962)",New-Englands Crisis (1676),novel,novel,'Mrs. Mobry's Reason,
1900-1999,"Cooper, James Fenimore (1789-1851)",The Sound and the Fury (1929),novel,novel,relationship to literary culture,
1800-1899,"Melville, Herman (1819-1891)",The Last of the Mohicans (1826),novel,novel,narrative technique,
1800-1899,"Warren, Robert Penn (1905-1989)",The Confidence-Man (1857),novel,novel,relationship to oral tradition,
1800-1899,"Hemingway, Ernest (1899-1961)",All the King's Men (1946),novel,poetry,role of classicism,
1900-1999,"Baldwin, James (1924-1987)",For Whom the Bell Tolls (1940),novel,novel,rhetorical technique,
,"Howells, William Dean (1837-1920)",Go Tell It on the Mountain (1953),novel,,relationship to praise,
,"Melville, Herman (1819-1891)",The World of Chance (1893),poetry,,spirituality,
,"treatment in Thoreau, Henry David (1817-1862)",Typee (1846),,,of authorial self,
,"Whitman, Walt (1819-1892)",Leaves of Grass (1855),,,as dialogue,
,"Porter, Katherine Anne (1890-1980)",Hacienda (1934),,,realism,
,,'The Children of Xochitl',,,in narrative style,
,,,,,relationship to truth,
,,,,,context,
,,,,,of storytelling,
,,,,,treatment of poetics,
,,,,,role of apprenticeship,
,,,,,with New Critics,
,,,,,treatment of the ordinary,
,,,,,in daily life,
,,,,,of characters,
,,,,,"sources in Joyce, James (1882-1941)",
,,,,,Dubliners (1914),
,,,,,narrative structure,
,,,,,genre conventions,
,,,,,of travel literature,
,,,,,sea imagery,
,,,,,treatment of Romantic imagination,
,,,,,political crisis,
,,,,,of female protagonist,
,,,,,"sources in Flaubert, Gustave (1821-1880)",
,,,,,Madame Bovary (1857),
,,,,,"influence on Chopin, Kate (1851-1904)",
,,,,,The Awakening (1899),
,,,,,persona,
,,,,,King Philip's War,
,,,,,narration,
,,,,,"by Compson, Quentin (character)",
,,,,,plot,
,,,,,relationship to American history,
,,,,,civilization,
,,,,,narrative technique,
,,,,,treatment of hatred,
,,,,,of Native Americans,
,,,,,"treatment of Stark, Willie (character)",
,,,,,"as Long, Huey Pierce (1893-1935)",
,,,,,relationship to historical events,
,,,,,as tragic novel,
,,,,,relationship to narrative form,
,,,,,setting,
,,,,,symbolism,
,,,,,of city,
,,,,,treatment of spiritual growth,
,,,,,of protagonist,
,,,,,self-parody,
,,,,,treatment of romantic idealism,
,,,,,of protagonist,
,,,,,"relationship to Hawthorne, Nathaniel (1804-1864)",
,,,,,No Subject Terms,
,,,,,relationship to Middle Ages,
,,,,,of happiness,
,,,,,despair,
,,,,,treatment of Xochiquetzal,
,,,,,sources in Mexican legend,
,,,,,relationship to imagery,
,,,,,"in Porter, Katherine Anne (1890-1980)",
,,,,,Hacienda (1934),
,,,,,'The Children of Xochitl',
