Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
Melville in the Customhouse Attic,"Hager, Christopher","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Jun-10,82,2,305,,2010381715,10.1215/00029831-2010-003,,Journal Article,"1800-1899; narrator; political metaphor; urban space; national identity; expansionism; authorship; American literature; Melville, Herman; Redburn; novel",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010381715&site=ehost-live
O Cant: Singing the Race Music of Jean Toomer's Cane,"Graham, T. Austin","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Dec-10,82,4,725,,2011380174,10.1215/00029831-2010-043,,Journal Article,"1900-1999; African American writers; race; folk music; ethnomusicology; African Americans; United States; American literature; Toomer, Jean; Cane; short story",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2011380174&site=ehost-live
"Our Phillis, Ourselves","Brooks, Joanna","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Mar-10,82,1,1,,2010380635,10.1215/00029831-2009-067,,Journal Article,"1700-1799; African American women poets; preface; authorship; publishing; trial; American literature; Wheatley, Phillis; Poems on Various Subjects, Religious and Moral; poetry; Gates, Henry Louis, Jr.",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010380635&site=ehost-live
"Past Presentisms: Suffering Soldiers, Benjaminian Ruins, and the Discursive Foundations of Early U.S. Historical Novels","Letter, Joseph J.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Mar-10,82,1,29,,2010380636,10.1215/00029831-2009-068,,Journal Article,"1800-1899; novel; historical novel; allegory; suffering; soldier; ruins; national identity; American literature; Benjamin, Walter",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010380636&site=ehost-live
"'Poets of the First Book, Writers of Promise': Beginning in the Era of the First Book Prize","Zuba, Jesse","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Dec-10,82,4,753,,2011380175,10.1215/00029831-2010-044,,Journal Article,1900-1999; poetry; literary prizes; professionalism; American literature,,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2011380175&site=ehost-live
Revising 'Harriet Jacobs' for 1865,"Stewart, Anna","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Dec-10,82,4,701,,2011380173,10.1215/00029831-2010-042,,Journal Article,"1800-1899; African American writers; Child, Lydia Maria; editions; sexual politics; American literature; Jacobs, Harriet Ann; Incidents in the Life of a Slave Girl; autobiography",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2011380173&site=ehost-live
Richard Wright's Oneiropolitics,"Tuhkanen, Mikko","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Mar-10,82,1,151,,2010380640,10.1215/00029831-2009-072,,Journal Article,"1900-1999; African American novelists; chronotope; dreaming; postcolonialism; American literature; Wright, Richard; Native Son; Black Power; novel; Husserl, Edmund",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010380640&site=ehost-live
"Serpentine Figures, Sinuous Relations: Thematic Geometry in Allison Hedge Coke's Blood Run","Allen, Chadwick","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Dec-10,82,4,807,,2011380177,10.1215/00029831-2010-046,,Journal Article,"1900-1999; Native American poets; geometry; land; American literature; Coke, Allison Adelle Hedge; Blood Run; poetry; poetic cycle",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2011380177&site=ehost-live
Speculative Fictions of Slavery,"Dubey, Madhu","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Dec-10,82,4,779,,2011380176,10.1215/00029831-2010-045,,Journal Article,1900-1999; novel; African American novelists; genre conventions; speculative fiction; realist fiction; slavery; the past; trauma; American literature,,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2011380176&site=ehost-live
'Tendrils of Association': World War I Narrative and the U.S. Political Imaginary,"Vincent, Jonathan","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Sep-10,82,3,553,,2010383175,10.1215/00029831-2010-024,,Journal Article,1900-1999; fiction; war fiction; World War I; national identity; citizen; political ideologies; internationalism; American literature,,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010383175&site=ehost-live
The End of the American Funding Model: What Comes Next?,"Newfield, Christopher","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Sep-10,82,3,611,,2010383177,10.1215/00029831-2010-026,,Journal Article,humanities; United States; funding,,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010383177&site=ehost-live
"The New York School of Urban Ecology: The New Yorker, Rachel Carson, and Jane Jacobs","Rowan, Jamin Creed","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Sep-10,82,3,583,,2010383176,10.1215/00029831-2010-025,,Journal Article,"1900-1999; ecology; urban life; American literature; Carson, Rachel; The Sea around Us; prose; The New Yorker; Jacobs, Jane; The Death and Life of Great American Cities",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010383176&site=ehost-live
The Techné Whim: Lin Yutang and the Invention of the Chinese Typewriter,"Williams, R. John","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Jun-10,82,2,389,,2010381718,10.1215/00029831-2010-006,,Journal Article,English language literature; 1900-1999; emigré writers; technology; typewriter; invention; Chinese literature; Lin Yutang; prose; United States,,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010381718&site=ehost-live
What to the American Indian Is the Fourth of July? Moving beyond Abolitionist Rhetoric in William Apess's Eulogy on King Philip,"Lopenzina, Drew","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Dec-10,82,4,673,,2011380172,10.1215/00029831-2010-041,,Journal Article,"1800-1899; Native American writers; rhetoric; colonization; racism; cultural survival; abolitionist movement; American literature; Apess, William; Eulogy on King Philip; prose",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2011380172&site=ehost-live
